Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	ND	NT	a	b	c	d	e	f	non-b	Total
272		7								7
273		1								1
274		1								1
275		1								1
276		11								11
277		1								1
278		1								1
279		1								1
280		6		1						7
281		1								1
282		2		7						9
283				1						1
284				1						1
285				1						1
286		1		1						2
287				9						9
288				1						1
289				1						1
290				1						1
291				1						1
292				1						1
293				1						1
294				3						3
295				1						1
296				1						1
297				1						1
298		1		1						2
299				1						1
300				1						1
301				1						1
302				1						1
303				1						1
304				1						1
305				1						1
306		1								1
307		1								1
308		1								1
309		1								1
310		1								1
311		2								2
312		1								1
313		1								1
314		1								1
315		1								1
316		1								1
317		1								1
318		1								1
319		1								1
320		1								1
321		13								13
322				1						1
323				2						2
324				1						1
325				1						1
326				2						2
327				1						1
328				2						2
329		1		1						2
330				2						2
332				1						1
333				1						1
334		3		1						4
335				1						1
336				1						1
337				2						2
338				1						1
339				1						1
340		1		1						2
341		1		1						2
342				1						1
343				1						1
344				1						1
345				1						1
346		1								1
347				1						1
348		1								1
349		12								12
350		1								1
351		3								3
352		1								1
353		1								1
354		1								1
355		1								1
356		1								1
357		1								1
358		1								1
359		3								3
360	1									1
361		2								2
362			1							1
363		1								1
364		1								1
365		1								1
366		1								1
367		14								14
368		18								18
369		1								1
370				1						1
371		1								1
372			4							4
373		1								1
374		1								1
375		1								1
376		1								1
378		1								1
379		1								1
380		2								2
381		1								1
382		1								1
383		1								1
384							1			1
385		3								3
386							6			6
387		1								1
388		19								19
389		10								10
390		2								2
391		1								1
392		1								1
393		11								11
394		1								1
395		10								10
396		29								29
397			1							1
398		4								4
399		1								1
400		1								1
401		2								2
402		2								2
403			1							1
404		5								5
405			1							1
406		1								1
407		8								8
408		12								12
409		1								1
410		2								2
411		23								23
412				1						1
413		1								1
414		2								2
415								1		1
416		1								1
417		2								2
418							1			1
419		1								1
420		2								2
421		1								1
422		24								24
423		3								3
424		2								2
425		11								11
426		1								1
427		1								1
428		1								1
429		1								1
430	1	4								5
431		9								9
432		2								2
433		1								1
434		1								1
435	1									1
436	1	6								7
437		1								1
438	1									1
439	1									1
440	1									1
441	1									1
442	1									1
443	1									1
444	1									1
445	1									1
446	1	1								2
447	1									1
448	1	1								2
449	1									1
450	1									1
451	1									1
452	1									1
453	1									1
454	1									1
455	1									1
456	1									1
457	1									1
458	1									1
459	1									1
460	1	1								2
461		1								1
462		1								1
463		1								1
464				2						2
465		1								1
466				1						1
467				1						1
468				1						1
469				2						2
470	1									1
471	1									1
472	1	8								9
473	1									1
474	1	12								13
475				1						1
476				1						1
477		1								1
478		8								8
479		1								1
480		4								4
481		4								4
482		1								1
483		1								1
484		1								1
485		1								1
486		3								3
487		3								3
488		1								1
489		1								1
490		1								1
491		1								1
492		1								1
493		1								1
494		1								1
495		1								1
496		2								2
497		1								1
498		1								1
499		1								1
500		1								1
501		1								1
502		1								1
503		6								6
504		1								1
505		1								1
506		1								1
507		1								1
508		3								3
509		3								3
510		2								2
511		1								1
512		1								1
513		6								6
514		1								1
515		1								1
516				1						1
517		1								1
518		1								1
519		1								1
520		1								1
521		1								1
522		1								1
523		1								1
524		6								6
525		1								1
526		1								1
527		2								2
528							1			1
529			1							1
530		1								1
531		4								4
532		2								2
533		1								1
534		1								1
