Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	NA	No value	O1	O1&#65306;K-	O10	O10: KUT	O10:K19	O10:K20	O10:K22	O10:K24	O10:K52	O10:K6	O10:K66	O10:K68	O10:K71	O10:K9	O10:KUT	O10:Kuk	O10:Kunk	O10K66	O10KUT	O11	O11:K28	O11:K34	O11:K36	O11:K40	O11:K44	O11:K5	O11:K50	O11:K68	O11:KUT	O11:Kuk	O11:Kunk	O11K22	O11ï¼K40	O12	O12:K12	O1:K1	O1:K12	O1:K17	O1:K2	O1:K20	O1:K22	O1:K25	O1:K26	O1:K28	O1:K29	O1:K30	O1:K32	O1:K33	O1:K36	O1:K38	O1:K41	O1:K52	O1:K54	O1:K55	O1:K56	O1:K58	O1:K59	O1:K64	O1:K69	O1:K9	O1:KUT	O1:Kuk	O1:Kunk	O1:Kut	O1:k32	O1;K46	O1K25	O1K31	O1KUT	O1：K26	O1：KUT	O2	O2:K22	O2:K26	O2:K28	O2:K29	O2:K3	O2:K56	O2:K8	O2:KUT	O2:Kuk	O2:Kunk	O2K3	O2KUT	O2：K15	O3	O3 : K6	O3 :K6	O3&#65306;K6	O3: K31	O3:K	O3:K1	O3:K117	O3:K13	O3:K17	O3:K20	O3:K21	O3:K25	O3:K29	O3:K30	O3:K31	O3:K33	O3:K34	O3:K37	O3:K4	O3:K41	O3:K42	O3:K45	O3:K46	O3:K48	O3:K5	O3:K56	O3:K58	O3:K59	O3:K6	O3:K68	O3:K7	O3:K72	O3:KUT	O3:Kuk	O3:Kunk	O3:Kut	O3K20	O3KUT	O3ï¼K6	O3：K7	O4	O4&#65306;K18	O4: K8	O4:K10	O4:K11	O4:K12	O4:K13	O4:K15	O4:K29	O4:K33	O4:K34	O4:K37	O4:K38	O4:K4	O4:K42	O4:K53	O4:K54	O4:K55	O4:K63	O4:K68	O4:K8	O4:K9	O4:KUT	O4:Kuk	O4:Kunk	O4:Kut	O4:k42	O5	O5:K11	O5:K17	O5:K19	O5:K28	O5:K30	O5:K52	O5:K57	O5:K68	O5:KUT	O5:Kuk	O5:Kunk	O5:Kut	O5K17	O5ï¼K17	O5：K64	O6	O6:K18	O6:K41	O6:K46	O6:Kuk	O6:Kunk	O7	O7:K19	O7:K52	O7:KUT	O7K19	O8	O8:K1	O8:K21	O8:K22	O8:K41	O8:K47	O8:K70	O8:KUT	O8:Kunk	O8:k22	O9:K23	O9:K24	O9:K44	OUT:K28	OUT:K33	OUT:K48	OUT:KUT	Ouk:Kuk	Ounk:Kunk	Q5:KUT	Total
100		1																																																																																																																																																																																																									1
101		1																																																																																																																																																																																																									1
102		2																																																																																																																																																																																																									2
103		1																																																																																																																																																																																																									1
104		1																																																																																																																																																																																																									1
105		1																																																																																																																																																																																																									1
106		1																																																																																																																																																																																																									1
107		2																																																																																																																																																																																																									2
108		1																																																																																																																																									1																																																																2
109		1																																																																																																																																																																																																									1
110		1																																																																																																																																																																																																									1
111		1																																																																																																																																																																																																									1
112		1																																																																																																																																																																																																									1
113		1																																																																																																																																																																																																									1
114		6																																																																																																																																																																			1																																						7
115		1																																																																																																																																																																																																									1
116		1																																																																																																																																																																																																									1
117		1																																																																																																																																																																																																									1
118		2																																																																																																																																																																																																									2
119		1																																																																																																																																																																																																									1
120		2																																																																												1																																						20	2						1																																																																																26
121		5																																																																																																																			1																																																																																						6
122																																																																																			1																																																																																																																								1
123																																																									1																																																																																																																																																		1
124																																																																																																																											1																																																																																1
125																																																																	1																																																																																																																																										1
126																																																																	1																																																																																																																																										1
127																																																																																																								1																																																																																																			1
128																																																																																																																																																									1																																																		1
129																		1																																																																																																																																																																																									1
130		2													1																																																																																																																																																																																												3
131		5																																																																																																																																																																																																									5
133		1																																																																																																																																																																																																									1
134		1																																																																																																																																																																																																									1
135		3																																																																																																																																																																																																									3
136		1																																																																																																																																																																																																									1
137		3																																																																																																																																																																																																									3
138		5																																																																																																																																																																																																									5
139		1																																																																																																																																																																																																									1
141		4																																																																																																																																																																																																									4
142		1																																																																																																																																																																																																									1
143		1																																																																																																																																																																																																									1
150		3																																																																																																																																																																																																									3
153																																																																																																																																																										1																																																	1
154		1																																																																																																																																																																																																									1
162		2																																																																																																																																																																																																									2
165		1																																																																																																																																																																																																									1
180																																																																															1																																																																																																																												1
185																																																																																																																																																				1																																																							1
188																																																																																																					1																																																																																																						1
189		2																																																																																																																									1												1													1	4																																																						9
190																																																																	1																																																																																																																																										1
191																																																																	1																																																																																																																																										1
192																																													1																																																																																																																																																														1
193																																																																																																																											1																																																																																1
194																																																																																																																																																														1																																													1
195																																																																																																																																																				1																																																							1
196																																																																																																																					1																																																																																						1
197																																																																																																																											1																																																																																1
198																																																																																																																											1																																																																																1
199		1																																																															4																																																																																																																																										5
200																																																																	1																																																																																																																																										1
212		1																																																																																																																																																																																																									1
215																																												1																																																																																																																																																															1
216		1																																																																													2																																						1																																																																																						4
217		3																																																		1																																																																																																																																																							4
218																	1																																																																																																																																																																																										1
219																																																																																																																																													1																																																														1
220																																																																																																																					1																																																																																						1
221																																																																																													1																																																																																																														1
222																																																																	1																																																																																																																																										1
223																																																			1																																																																																																																																																								1
224		1																																																																																																																																			1																																																																						2
225																																																																													1																																																																																																																														1
226																																																																1																																																																																																																																											1
227		1																																																																																																																																																																																																									1
228																																																																																																																											1																																																																																1
229																																																																																																																													1																																																																														1
230																				1																																																																																																																																																																																							1
231																																																																																																																														1																																																																													1
232																																																																																					1																																																																																																																						1
