Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A/1	F/11	F/12	G	NA	NT	No value	Not typable	O1	O1, O3, O6,O10	O10	O11	O12	O13	O14	O15	O15:O10:O14	O1:O3:O14	O1:O3:OII	O1:OII	O3	O3:O4	O3:O4:O13	O4	O4:O11	O4:O7:O11	O4:O9	O4:OII	O5	O6	O6:O10	O6:O12:O13:O14	O6:O12:O14	O6:O13:O14	O6:O14	O6:O9:O10:O4	O7	O7:O8	O8	O9	O9:O12	O9:O14	O:11	O:12	O:4	OII	ONT	P. aeruginosa	PA	no agglutinating	non serotypable	not typeable	6	2943	Total
521							1																							1																									2
522							1																																																1
523							1																																																1
524							1																																																1
525							1																																																1
527							7																																																7
532							21					1																																											22
533												1																																											1
534												1																																											1
535							1																																																1
536							1																																																1
537							1																																																1
538							1																																																1
539							1																																																1
540							2																																																2
541							1																																																1
542							1																																																1
543							1																																																1
544							1																																																1
545							1																																																1
546							1																																																1
547							1																																																1
548							1																																																1
549							25																																																25
550							2																																																2
551							1																																																1
552							1																																																1
553							4																																																4
554							4																																																4
555							3																																																3
556							2																																																2
557							7																																																7
558							1																																																1
559							1																																																1
560							47																																																47
561							2																																																2
562							1																																																1
563							1																																																1
564							3																																																3
565							1																																																1
566							1																																																1
567							1																																																1
568							1																																																1
569							5																																																5
570							1																																																1
571							3																																																3
572							1																																																1
573							1																																																1
574							1																																																1
575							3																							1																									4
576							1																																																1
577							1																																																1
578							1																																																1
579							1																																																1
580							1																																																1
581							1																																																1
582							1																																																1
583							1																																																1
584							1																																																1
585							1																																																1
586							1																																																1
587							1																																																1
588							1																																																1
589							6																																																6
591							2																																																2
593							3																																																3
594							1																																																1
595							2																																																2
596							1																																																1
597							1																																																1
598							3																																																3
599							1																																																1
600							1																																																1
601							1																																																1
602							1																																																1
603							1																																																1
604							1																																																1
605							1																																																1
606							9																																																9
607							1																																																1
608							1																																																1
609							2																																																2
610							1																																																1
611							9																																																9
612							2																																																2
613							1																																																1
614							1																																																1
615							1																																																1
616							1																																																1
617							2																																																2
618							1																																																1
619							1																																																1
620							4																																																4
621							4																																																4
622							1																																																1
623							1																																																1
624							1																																																1
625							1																																																1
626							1																																																1
627							1																																																1
628							1																																																1
629							1																																																1
630							1																																																1
631							1																																																1
632							1																																																1
633							11																																																11
634							1																																																1
635							2																																																2
636							1																																																1
637							1																																																1
638							1																																																1
639							2																																																2
640							5																																																5
641							4																																																4
642							1																																																1
643							2																																																2
644							4																																																4
645							7																																																7
646							2																																																2
647							3																																																3
648							1																																																1
649							23																																																23
650							1																																																1
653							2																																																2
654							45					1																															1	1											48
655							6																																																6
664							9																																																9
667							6																																																6
668							1																																																1
670							1																																																1
671							14																																																14
672							3																																																3
673							1																																																1
674							1																																																1
675							4																																																4
676							14																																																14
677							1																																																1
678							1																																																1
679							1																																																1
683							2																																																2
685							3																																																3
689							8																																																8
693							9																																																9
694							2																																																2
695							1																																																1
696							1																																																1
697							5																																																5
698							4																																																4
699							10																																							1									11
700																					1																																		1
701							6																																																6
708							15																																																15
709							12																																																12
712							5																																																5
713							1																																																1
728							1																																																1
729							2																																																2
730							1																																																1
731							1																																																1
732							1																																																1
733							1																																																1
734							1																																																1
735							1																																																1
736							1																																																1
737							1																																																1
738							1																																																1
739							1																																																1
740							6																																																6
741							1																																																1
742							1																																																1
743							1																																																1
744							1																																																1
745							1																																																1
746							1																																																1
750							1																																																1
751							1																																																1
752							1																																																1
753							1																																																1
754							1																																																1
755							1																																																1
756							1																																																1
757							1																																																1
758							1																																																1
759							2																																																2
760							1																																																1
