Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	H 10a, 10b	H 13	H 34	H 3a, 3b, 3c	H 4a, 4c	H 5a, 5c	H 6	H 7	H 8a, 8b	H 9	H34	NT	No value	UN	chinensis CT-43	galleriae	kurstaki	morrisoni	not known	thuringiensis	unknown	1	2	3a, 3b, 3c	3a, 3d	3a,3c	4a, 4b	4a, 4c	5a, 5b	5a, 5c	6	7	8a 8b	8a, 8b	8a, 8c	8b, 8d	9	10a, 10b	10a, 10c	11a, 11b	11a, 11c	12	13	14	15	16	17	18a, 18b	18a, 18c	18a,18b	19	20a, 20b	20a, 20c	21	22	24a, 24b	24a, 24c	26	27	28a, 28b	29	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	65	67	Total
2028													1																																																																																			1
2029													1																																																																																			1
2030													1																																																																																			1
2031													1																																																																																			1
2032													2																																																																																			2
2033													1																																																																																			1
2034													3																																																																																			3
2035													1																																																																																			1
2036													1																																																																																			1
2037													4																																																																																			4
2038													1																																																																																			1
2039													1																																																																																			1
2040													6																																																																																			6
2041													1																																																																																			1
2042													2																																																																																			2
2043													1																																																																																			1
2044													2																																																																																			2
2045													1																																																																																			1
2046													1																																																																																			1
2047													1																																																																																			1
2048													1																																																																																			1
2049													3																																																																																			3
2050													1																																																																																			1
2051													1																																																																																			1
2052													1																																																																																			1
2053													2																																																																																			2
2054													9																																																																																			9
2055													3																																																																																			3
2056													1																																																																																			1
2057													1																																																																																			1
2058													1																																																																																			1
2059													1																																																																																			1
2060													1																																																																																			1
2061													2																																																																																			2
2062													1																																																																																			1
2063													1																																																																																			1
2064													2																																																																																			2
2066													1																																																																																			1
2067													1																																																																																			1
2070													1																																																																																			1
2071													1																																																																																			1
2072													1																																																																																			1
2073													1																																																																																			1
2074													1																																																																																			1
2075													1																																																																																			1
2076													1																																																																																			1
2077													1																																																																																			1
2078													1																																																																																			1
2079													1																																																																																			1
2080													1																																																																																			1
2081													1																																																																																			1
2082													3																																																																																			3
2083													1																																																																																			1
2084													1																																																																																			1
2085													1																																																																																			1
2086													2																																																																																			2
2087													1																																																																																			1
2088													1																																																																																			1
2089													1																																																																																			1
2090													1																																																																																			1
2091													1																																																																																			1
2092													1																																																																																			1
2093													1																																																																																			1
2094													4																																																																																			4
2095													1																																																																																			1
2096													1																																																																																			1
2097													1																																																																																			1
2098													1																																																																																			1
2099													1																																																																																			1
2100													1																																																																																			1
2101													1																																																																																			1
2102													1																																																																																			1
2103													1																																																																																			1
2104													1																																																																																			1
2105													1																																																																																			1
2106													1																																																																																			1
2107													1																																																																																			1
2109													1																																																																																			1
2110													1																																																																																			1
2111													1																																																																																			1
2112													4																																																																																			4
2113													1																																																																																			1
2116													5																																																																																			5
2121													2																																																																																			2
2122													1																																																																																			1
2123													1																																																																																			1
2124													1																																																																																			1
2125													1																																																																																			1
2127													1																																																																																			1
2128													3																																																																																			3
2130													3																																																																																			3
2131													2																																																																																			2
2132													2																																																																																			2
2133													2																																																																																			2
2134													2																																																																																			2
2135													1																																																																																			1
2136													9																																																																																			9
2138													7																																																																																			7
2139													3																																																																																			3
2140													5																																																																																			5
2141													4																																																																																			4
2142													1																																																																																			1
2146													3																																																																																			3
2148													1																																																																																			1
2149													2																																																																																			2
2150													1																																																																																			1
2152													1																																																																																			1
2166													1																																																																																			1
2182													1																																																																																			1
2184													1																																																																																			1
2195													6																																																																																			6
2261													1																																																																																			1
2266													1																																																																																			1
2267													1																																																																																			1
2276													1																																																																																			1
2287													2																																																																																			2
2289													1																																																																																			1
2304													1																																																																																			1
2320													1																																																																																			1
2349													1																																																																																			1
2352													2																																																																																			2
2356													1																																																																																			1
2357													2																																																																																			2
2362													2																																																																																			2
2363													1																																																																																			1
2364													1																																																																																			1
2365													1																																																																																			1
2366													1																																																																																			1
2367													1																																																																																			1
2369													1																																																																																			1
2370													1																																																																																			1
2371													1																																																																																			1
2372													1																																																																																			1
2373													1																																																																																			1
2374													2																																																																																			2
2376													1																																																																																			1
2377													2																																																																																			2
2379													1																																																																																			1
2380													1																																																																																			1
2381													3																																																																																			3
2384													1																																																																																			1
2385													1																																																																																			1
2386													1																																																																																			1
2387													4																																																																																			4
2388													2																																																																																			2
2390													1																																																																																			1
2392													1																																																																																			1
2393													1																																																																																			1
2394													4																																																																																			4
2398													1																																																																																			1
2400													2																																																																																			2
2402													1																																																																																			1
2403													1																																																																																			1
2404													1																																																																																			1
2405													1																																																																																			1
2406													1																																																																																			1
2441													1																																																																																			1
2442													2																																																																																			2
2445													1																																																																																			1
2446													1																																																																																			1
2447													2																																																																																			2
2448													1																																																																																			1
2451													2																																																																																			2
2453													1																																																																																			1
2454													1																																																																																			1
2455													1																																																																																			1
2456													1																																																																																			1
2457													1																																																																																			1
2458													1																																																																																			1
2459													1																																																																																			1
2460													1																																																																																			1
2461													1																																																																																			1
2462													1																																																																																			1
2463													1																																																																																			1
2464													1																																																																																			1
2465													1																																																																																			1
2466													1																																																																																			1
2467													1																																																																																			1
2468													1																																																																																			1
2469													1																																																																																			1
2470													1																																																																																			1
2471													1																																																																																			1
2472													1																																																																																			1
2473													1																																																																																			1
2474													1																																																																																			1
2475													1																																																																																			1
2476													1																																																																																			1
2477													1																																																																																			1
2478													1																																																																																			1
2479													4																																																																																			4
2480													1																																																																																			1
2481													1																																																																																			1
2482													1																																																																																			1
2483													1																																																																																			1
2484													1																																																																																			1
2487													1																																																																																			1
2488													1																																																																																			1
2489													1																																																																																			1
2490													1																																																																																			1
2491													2																																																																																			2
2492													1																																																																																			1
2493													1																																																																																			1
2494													5																																																																																			5
2495													1																																																																																			1
2496													1																																																																																			1
2498													2																																																																																			2
2500													1																																																																																			1
2501													2																																																																																			2
2502													2																																																																																			2
2504													1																																																																																			1
2507													2																																																																																			2
2509													1																																																																																			1
2510													1																																																																																			1
2511													2																																																																																			2
2512													1																																																																																			1
2513													1																																																																																			1
2514													1																																																																																			1
2515													1																																																																																			1
2516													1																																																																																			1
2517													1																																																																																			1
2518													1																																																																																			1
2519													1																																																																																			1
2520													1																																																																																			1
2521													1																																																																																			1
2522													1																																																																																			1
2523													1																																																																																			1
2524													1																																																																																			1
2525													1																																																																																			1
2527													1																																																																																			1
2528													1																																																																																			1
2529													1																																																																																			1
2530													1																																																																																			1
2531													1																																																																																			1
2532													2																																																																																			2
2533													1																																																																																			1
2534													1																																																																																			1
2535													1																																																																																			1
2537													1																																																																																			1
2538													1																																																																																			1
2557													1																																																																																			1
2558													1																																																																																			1
2559													1																																																																																			1
2560													1																																																																																			1
2561													1																																																																																			1
2562													1																																																																																			1
2563													1																																																																																			1
2564													1																																																																																			1
2565													1																																																																																			1
2566													1																																																																																			1
2567													1																																																																																			1
2571													1																																																																																			1
2572													1																																																																																			1
2573													1																																																																																			1
2574													1																																																																																			1
2575													1																																																																																			1
2576													1																																																																																			1
2577													1																																																																																			1
2578													2																																																																																			2
2579													1																																																																																			1
2580													1																																																																																			1
2581													1																																																																																			1
2582													1																																																																																			1
2583													1																																																																																			1
2584													1																																																																																			1
2585													1																																																																																			1
2586													1																																																																																			1
2587													1																																																																																			1
2588													1																																																																																			1
2589													1																																																																																			1
2590													1																																																																																			1
2591													1																																																																																			1
2592													1																																																																																			1
2593													1																																																																																			1
2594													2																																																																																			2
2595													1																																																																																			1
2596													1																																																																																			1
2597													1																																																																																			1
2598													1																																																																																			1
2599													1																																																																																			1
2600													1																																																																																			1
2601													1																																																																																			1
2602													1																																																																																			1
2603													1																																																																																			1
2604													1																																																																																			1
2605													1																																																																																			1
2606													1																																																																																			1
2607													1																																																																																			1
2608													1																																																																																			1
2609													1																																																																																			1
2610													1																																																																																			1
2611													1																																																																																			1
2612													2																																																																																			2
2613													1																																																																																			1
2614													1																																																																																			1
2615													1																																																																																			1
2616													1																																																																																			1
2617													1																																																																																			1
2618													1																																																																																			1
2619													1																																																																																			1
2620													1																																																																																			1
2621													1																																																																																			1
2622													2																																																																																			2
2623													1																																																																																			1
2624													1																																																																																			1
2625													1																																																																																			1
2626													1																																																																																			1
2627													1																																																																																			1
2628													1																																																																																			1
2629													1																																																																																			1
2630													1																																																																																			1
2631													1																																																																																			1
2632													1																																																																																			1
2633													1																																																																																			1
2634													1																																																																																			1
2635													1																																																																																			1
2636													1																																																																																			1
2637													1																																																																																			1
2638													1																																																																																			1
2639													1																																																																																			1
2640													1																																																																																			1
2641													1																																																																																			1
2642													1																																																																																			1
2643													1																																																																																			1
2644													1																																																																																			1
2645													1																																																																																			1
2646													1																																																																																			1
2647													1																																																																																			1
2648													2																																																																																			2
2650													1																																																																																			1
2651													1																																																																																			1
2652													1																																																																																			1
2655													5																																																																																			5
2656													2																																																																																			2
2657													1																																																																																			1
2658													1																																																																																			1
2659													1																																																																																			1
2660													3																																																																																			3
2661													1																																																																																			1
2662													1																																																																																			1
2663													1																																																																																			1
2664													1																																																																																			1
2665													1																																																																																			1
2666													1																																																																																			1
2667													1																																																																																			1
2668													2																																																																																			2
2669													1																																																																																			1
2670													1																																																																																			1
2671													1																																																																																			1
2672													1																																																																																			1
2673													1																																																																																			1
2674													1																																																																																			1
2675													1																																																																																			1
2676													1																																																																																			1
2677													1																																																																																			1
2678													1																																																																																			1
2679													1																																																																																			1
2680													1																																																																																			1
2681													1																																																																																			1
2682													1																																																																																			1
2683													1																																																																																			1
2684													1																																																																																			1
2685													1																																																																																			1
2686													1																																																																																			1
2687													1																																																																																			1
2688													1																																																																																			1
2690													1																																																																																			1
2691													1																																																																																			1
2692													1																																																																																			1
2693													1																																																																																			1
2694													1																																																																																			1
2695													1																																																																																			1
2696													1																																																																																			1
2697													1																																																																																			1
2698													1																																																																																			1
2699													1																																																																																			1
2700													1																																																																																			1
2701													1																																																																																			1
2702													1																																																																																			1
2703													2																																																																																			2
2704													1																																																																																			1
2705													1																																																																																			1
2706													1																																																																																			1
2707													1																																																																																			1
2708													1																																																																																			1
2709													1																																																																																			1
2710													1																																																																																			1
2711													1																																																																																			1
2712													1																																																																																			1
2713													1																																																																																			1
2714													1																																																																																			1
2715													1																																																																																			1
2716													1																																																																																			1
2717													1																																																																																			1
2718													2																																																																																			2
2719													1																																																																																			1
2720													1																																																																																			1
2721													1																																																																																			1
2722													1																																																																																			1
2723													1																																																																																			1
2724													1																																																																																			1
2725													2																																																																																			2
2726													1																																																																																			1
2727													1																																																																																			1
2728													7																																																																																			7
2729													1																																																																																			1
2730													1																																																																																			1
2731													1																																																																																			1
2733													1																																																																																			1
2734													1																																																																																			1
2735													1																																																																																			1
2736													1																																																																																			1
2737													1																																																																																			1
2738													1																																																																																			1
2739													1																																																																																			1
2740													1																																																																																			1
2741													1																																																																																			1
2742													1																																																																																			1
2743													4																																																																																			4
2744													2																																																																																			2
2745													3																																																																																			3
2746													1																																																																																			1
2748													2																																																																																			2
2754													1																																																																																			1
2756													2																																																																																			2
2757													1																																																																																			1
2758													1																																																																																			1
2759													1																																																																																			1
2760													1																																																																																			1
2761													1																																																																																			1
2762													1																																																																																			1
2764													2																																																																																			2
2765													1																																																																																			1
2766													2																																																																																			2
2767													1																																																																																			1
2768													1																																																																																			1
2769													1																																																																																			1
Total	6	3	1	2	5	4	2	5	6	4	1	2	4959	6	1	1	3	1	6	1	2	22	6	18	1	3	7	5	12	5	6	7	5	9	1	3	10	6	1	1	2	1	2	6	3	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	5221
