Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	H 10a, 10b	H 13	H 34	H 3a, 3b, 3c	H 4a, 4c	H 5a, 5c	H 6	H 7	H 8a, 8b	H 9	H34	NT	No value	UN	chinensis CT-43	galleriae	kurstaki	morrisoni	not known	thuringiensis	unknown	1	2	3a, 3b, 3c	3a, 3d	3a,3c	4a, 4b	4a, 4c	5a, 5b	5a, 5c	6	7	8a 8b	8a, 8b	8a, 8c	8b, 8d	9	10a, 10b	10a, 10c	11a, 11b	11a, 11c	12	13	14	15	16	17	18a, 18b	18a, 18c	18a,18b	19	20a, 20b	20a, 20c	21	22	24a, 24b	24a, 24c	26	27	28a, 28b	29	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	65	67	Total
238													1											1																									1																																															3
239													2																		1																																																																	3
240													15																											1																																																								16
241													4																																	2																																																		6
242													4																																		1																																																	5
243													2																						1																																																													3
244													3																							1																																																												4
245													1																																																																																			1
246													2																																																																																			2
247													1																																																													1																						2
248													2																																																																																			2
249													1																																																																																			1
250													1																																																																												1							2
251													3																																																												1																							4
252													1																																																																																			1
253													2																																																										1																									3
254													1																																																																																			1
255													2																																																																																			2
256													1																																																																																			1
257													11																																																																																			11
258													1																																																																																			1
259													12																																																																																			12
260													3																																																																																			3
261													1																																																																																			1
262													1																																																																		1																	2
263													1																																																																																			1
264													1																																																																																			1
265													4																																																																																			4
266													33																																																																																			33
267													3																																																																																			3
268													3																																																																																			3
269													1																																																																																			1
270													1																																																																																			1
271													1																																																																																			1
272													3																																																																																			3
273													1																																																																																			1
274													4																																																																																			4
275													1																																																																																			1
276													1																																																																																			1
277													1																																																																																			1
278													9																																																																																			9
279													2																																																																																			2
280													1																																																																																			1
281													3																																																																																			3
282													1																																																																																			1
283													1																																																																																			1
284													1																																																																																			1
285													1																																																																																			1
286													9																																																																																			9
287													1																																																																																			1
288													1																																																																																			1
289													1																																																																																			1
290													1																																																																																			1
291													2																																																																																			2
292													1																																																																																			1
293													1																																																																																			1
294													1																																																																																			1
295													4																																																																																			4
296													2																																																																																			2
297													1																																																																																			1
298													1																																																																																			1
299													2																																																																																			2
300													1																																																																																			1
301													1																																																																																			1
302													1																																																																																			1
303													1																																																																																			1
304													1																																																																																			1
305													3																																																																																			3
306													2																																																																																			2
307													1																																																																																			1
308													1																																																																																			1
309													1																																																																																			1
310													1																																																																																			1
311													1																																																																																			1
312													6																																																																																			6
313													1																																																																																			1
314													1																																																																																			1
315													1																																																																																			1
316													1																																																																																			1
317													1																																																																																			1
318													1																																																																																			1
319													1																																																																																			1
320													1																																																																																			1
321													1																																																																																			1
322													1																																																																																			1
323													1																																																																																			1
324													1																																																																																			1
325													4																																																																																			4
326													2																																																																																			2
327													1																																																																																			1
328													2																																																																																			2
329													1																																																																																			1
330													1																																																																																			1
331													1																																																																																			1
332													1																																																																																			1
333													1																																																																																			1
334													1																																																																																			1
335													1																																																																																			1
336													2																																																																																			2
337													2																																																																																			2
338													1																																																																																			1
339													1																																																																																			1
340													1																																																																																			1
341													6																																																																																			6
342													1																																																																																			1
343													1																																																																																			1
344													1																																																																																			1
345													2																																																																																			2
346													1																																																																																			1
347													1																																																																																			1
348													1																																																																																			1
349													1																																																																																			1
350													1																																																																																			1
351													1																																																																																			1
352													1																																																																																			1
353													6																																																																																			6
354													1																																																																																			1
355													1																																																																																			1
356													1																																																																																			1
