Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A	B	C	Ib	NG	NST	NT	No value	P1.-	P1.12	P1.13	P1.14	P1.19	P1.7.10	P1.9	P2.22	P2.2a	P2.2b	P3.1	P3.14	P3.14,19	P3.15	P3.15,2.2a	P3.15,21	P3.19	P3.21	P3.22	P3.4	P3.4,21	P3.8,19	W	W-135	WII/III	b4	nt	nt, 1.16, nt	nt, p1.14, nt	nt, p1.15, nt	nt, p1.3, p1.6	nt, p1.9, nt	nt,14,nt	nt,nt,nt	nt,nt,p1.3	nt,nt,p1.9	nt,p.1.4,nt	nt,p1.13,nt	nt,p1.14,nt	nt,p1.16,nt	nt,p1.2,nt	nt,p1.3,nt	nt,p1.3,p1.6	nt,p1.4,nt	nt,p1.9,nt	p.1.19,p1.15,nt	p1.19, nt, nt	p1.19,nt,nt	p1.19,p1.15,nt	p1.5,nt,nt	p1.5,p1.2,nt	p1.7,nt,nt	y	1	1, 4	1,14	1,19	1W	1.14	1.7, 1.16, nt	1.7,1.16,nt	1.7,nt,nt	2	2, 10	2, 7	2A	2B	2C	2W	2a	2a,nt,nt	2b	2b, 4	2b,15	2b,16	2b/15	2c	2c, 4	3,14	3.1	3.14	3.15	3.22	4	4, 14, 21	4, 15	4, 21	4,10	4,10,1	4,14	4,15	4,21	4,7	4,7,14	4Z	4p,z	4.14	4.15	4.7	5	5, 12	5,nt,nt	6	7	7,17	7,19	7,8,19	8	8,1	8,10,19	8,19	8,19,22/23	8,9,10	8,9,22/23	9	10	11	12	14	14,15	14,16,19	14,19	14,19.	15	15,16	15,19	15,21	15,23	15,8	15/16	15?	15W	15wk	16	17	17,10	17,7	19	19,1	19,10	19,14	19,21	19,7	21	22	23	Total
1654								1																																																																																																																																																			1
1655							60	982																																																		1																																																																					1																												1044
1656								4																																																																																				1																																																															5
1657								2																																																																																																																																																			2
1658								1																																																																																																																																																			1
1659							1	4																																																																																																																																																			5
1661								1																																																																																																																																																			1
1662								1																																																																																																																																																			1
1663								3																																																																																																																																																			3
1664																																																																																																																															1																												1
1666							1																																																																																																																																																				1
1667							2	9																																																																																																																																																			11
1669								2																																																																																																																																																			2
1670							1																																																																																																																																																				1
1672							1																																																																																																																																																				1
1673							1	2																																																																																																																																																			3
1674							1	3																																																																																																																																																			4
1675																																																																																												2																																																															2
1676																																																																																												1																																																															1
1677							3	7																																																																																																																																																			10
1678																																																														1																																																																																													1
1679								8																																																																																				1																																																															9
1680								1																																																																								1																																																																											2
1681								1																																																																																																																																																			1
1682							1																																																																																																																																																				1
1683																																																																																												1																																																															1
1684							1																																																																																																																																																				1
1685																																																																																												1																																																															1
1686							1	3																																																																																																																																																			4
1687							1																																																																																																																																																				1
1688							1																																																																																																																																																				1
1689							1																																																																																																																																																				1
1690							1																																																																																																																																																				1
1691							1																																																																																																																																																				1
1692							1	1																																																																																																																																																			2
1693																																																																																												1																																																															1
1694							1	12																																																																																																																																																			13
1695							1																																																																																																																																																				1
1696							1																																																																																																																																																				1
1697							1																																																																																																																																																				1
1698								1																																																																																				1																																																															2
1699								1																																																						1																																																																																													2
1700																																																																																												1																																																															1
1701																																																														1																																																																																													1
1702																																																																														1																																																																													1
1703																																																																																												1																																																															1
1704																																																																																																																																																								1			1
1705																																																																																												1																																																															1
1706																																																														1																																																																																													1
1707																																																														1																																																																																													1
1708																																																																																												1																																																															1
1709																																																														1																																																																																													1
1710																																																																																												1																																																															1
1711																																																																																																																																				1																							1
1712																																																														1																																																																																													1
1713							1	1																																																																																																																																																			2
1714																																																																																												1																																																															1
1715																																																																																																																															1																												1
1716																																																																																												1																																			1																												2
1717																																																														1																																																																																													1
1718								3																																																																																																																							1																												4
1719							1																																																																																																																																																				1
1720																																																																																																																																				1																							1
1721								5																																																						1																																																																																													6
1722																																																																																												1																																																															1
1723							1																																																																																																																																																				1
1724							1																																																																																																																																																				1
1725							1																																																																																																																																																				1
1726							1																																																																																																																																																				1
1727							1	4																																																																																																																																																			5
1728																																																																																												1																																																															1
1729																																																																																																																																				1																							1
1730																																																																																												1																																																															1
1731																																																																																																																																																								1			1
1732								1																																																																																				1																																																															2
1733							1																																																																																																																																																				1
1734																																																																																												1																																																															1
1735							1																																																																																																																																																				1
1736							1																																																																																																																																																				1
1737																																																																																												1																																																															1
1738																																																																																												1																																																															1
1739																																																																																												1																																																															1
1740																																																																																1																																																																											1
1741							1																																																																																																																																																				1
1742																																																																																																																																				1																							1
1743																																																																																												1																																																															1
1744																																																																																												1																																																															1
1745																																																																																																																																				1																							1
1746																																																																																																																																				1																							1
1747																																																																																																																															1																												1
1748																																																																																												1																																																															1
1749							1																																																																																																																																																				1
1750																																																																																												1																																																															1
1751																																																																																																																																				1																							1
1752							1																																																																																																																																																				1
1753																																																														1																																																																																													1
1754								23																																																																						3																																																																													26
1755																																																																														1																																																																													1
1756							1																																																																																																																																																				1
1757																																																																														1																																																																													1
1758							1																																																																																																																																																				1
1759																																																																																												1																																																															1
1760								4																																																						1																																																																																													5
1761							1																																																																																																																																																				1
1762							1																																																																																																																																																				1
1763								1																																																																								1																																																																											2
1764							1	6																																																																																																																																																			7
1765							1	9																																																																																																																																																			10
1766							1	4																																																																																																																																																			5
1767																																																																																												1																																																															1
1768							2	20																																																																																																																														1																					23
1769							1	1																																																																																																																																																			2
1770								13																																																																																				2																																																															15
1771								4																																																																																																																																																			4
1772							1	1																																																																																																																																																			2
1773																																																														1																																																																																													1
1774							1	13																																																																																																																																																			14
1775								2																																																						1																																																																																													3
1776								1																																																						1																																																																																													2
1777																																																														1																																																																																													1
1778								1																																																																																				1																																																															2
1779							1	3																																																																																																																																																			4
1780							1																																																																																																																																																				1
1781																																																																																																																																																								1			1
1782							1																																																																																																																																																				1
1783							1																																																																																																																																																				1
1784								12																																																																																				1																																																															13
1785								3																																																																																				1																																																															4
1786							2																																																																																																																																																				2
1787							1																																																																																																																																																				1
1788								9																																																																																				1																																																															10
1789								2																																																																						2																																																																													4
1790								4																																																																																				2																																																															6
1791							1	17																																																																																																																																																			18
1792																																																																																																				1																																																							1
1793																																																																																																																																				1																							1
1794								1																																																																																																																							1																												2
1795																																																																																																				1																																																							1
1796							1																																																																																																																																																				1
1797																																																																																												1																																																															1
1798																																																																																																																																				1																							1
1799							1																																																																																																																																																				1
1800							1																																																																																																																																																				1
1801																																																																																												1																																																															1
1802								12																																																																																				1																																																															13
1803							1																																																																																																																																																				1
1804							1																																																																																																																																																				1
1805																																																														1																																																																																													1
1806																																																																																												1																																																															1
1807							1	2																																																																																																																																																			3
1808							1																																																																																																																																																				1
1809																																																																														1																																																																													1
1810																																																																														1																																																																													1
1811							1	3																																																																																																																																																			4
1812																																																																																												1																																																															1
1813																																																																																																																																				1																							1
1814																																																																																												1																																																															1
1815								5																																																						1																																																																																													6
1816								1																																																						1																																																																																													2
1817																																																																																												1																																																															1
1818																																																																																																																															1																												1
1819																																																														1																																																																																													1
1820																																																																																												1																																																															1
1821								7																																																						1																																																																																													8
1822																																																																																												1																																																															1
1823								13																																																																																				1																																																															14
1824							1																																																																																																																																																				1
1825																																																														1																																																																																													1
1826																																																														1																																																																																													1
1827							2	3												1																																																																																																											1																												7
1828							1	4																																																																																																																																																			5
1829								1																																																																																																																												1																							2
1830							1																																																																																																																																																				1
1831							1	8																																																																																																																																																			9
1832																																																																																												1																																																															1
1833							1	1																																																																																																																																																			2
1834							1																																																																																																																																																				1
1835																																																																																												1																																																															1
1836							1																																																																																																																																																				1
1837																																																																																												1																																																															1
1838																																																														1																																																																																													1
1839																																																														1																																																																																													1
1840								20																																																																																				1																																																															21
1841							1	2																																																																																																																																																			3
1842																																																																																												1																																																															1
1843								3																																																																																				1																																																															4
1844								1																																																																																																																							2																												3
1845																																																																																												1																																																															1
1846																																																																																												1																																																															1
1847																																																														1																																																																																													1
1848								1																																																																																				1																																																															2
1849																																																																																																																																				1																							1
1850							1																																																																																																																																																				1
1851							1	5																																																																																																																																																			6
1852								2																																																																																																																							1																												3
1853								1																																																						1																																																																																													2
1854								1																																																																																																																																																	1		2
1855							1	3																																																																																																																																																			4
1856								1																																																																																				1																																																															2
1857							1	4																																																																																																																																																			5
1858							1	4																																																																																																																																																			5
1859								1																																																																																																																							2					1																							4
1860								2																																																																								1																																																																											3
1861																																																														1																																																																																													1
1862							1	1																																																																																																																																																			2
1863																																																																																												1																																																															1
1864								3																																																																																				1																																																															4
1865							1																																																																																																																																																				1
1866								1																																																																																				1																																																															2
1867								6																																																																						1																																																																													7
1868							1																																																																																																																																																				1
1869								3																																																						1																																																																																													4
1871							1																																																																																																																																																				1
1872								3																																																																																				1																																																															4
1873																																																																																												1																																																															1
1874							1																																																																																																																																																				1
1875																																																																																												1																																																															1
1876							1																																																																																																																																																				1
1877								1																																																																																																																																																1			2
1878							1	1																																																																																																																																																			2
1879							1	6																																																																																																																																																			7
1880								4																																																																																				1																																																															5
1881								2																																																																																																																																																			2
1882								2																																																																																																																																																			2
1883																																																																																												1																																																															1
1884																																																																														2																																																																													2
1885																																																																																												1																																																															1
1886																																																																																												1																																																															1
1887								1																																																																								1																																																																											2
1888																																																																																																																																																								1			1
1889								12																																																																																																																																																			12
1890								6																																																																																																																																																			6
1891								2																																																																																																																																																			2
1892								51																																																																																																																																																			51
1893		4						167																																																																																																																																																			171
1894								3																																																																																																																																																			3
1895								2																																																																																																																																																			2
1896								1																																																																																																																																																			1
1897								1																																																																																																																																																			1
1898								5																																																																																																																																																			5
1899								10																																																																																																																																																			10
1900								3																																																																																																																																																			3
1901								1643																																																																																																																																																			1643
1902								49																																																																																																																																																			49
1903								61																																																																																																																																																			61
1904								28																																																																																																																																																			28
1905								3																																																																																																																																																			3
1906								5																																																																																																																																																			5
1907								1																																																																																																																																																			1
1908							1	4																																																																																																																																																			5
1909							3	4																																																																																																																																																			7
1910							1																																																																																																																																																				1
1911							1																																																																																																																																																				1
1912							1																																																																																																																																																				1
1913							1																																																																																																																																																				1
1914							1																																																																																																																																																				1
1915							1	5																																																																																																																																																			6
1916								1																																																																																																																																																			1
1917								1																																																																																																																																																			1
1918								156																																																																																																																																																			156
1919								7																																																																																																																																																			7
1920								30																																																																																																																																																			30
1921								12																																																																																																																																																			12
1922								1																																																																																																																																																			1
1923								4																																																																																																																																																			4
1924								3																																																																																																																																																			3
1925								13																																																																																																																																																			13
1926								6																																																																																																																																																			6
1927								22																																																																																																																																																			22
1928								5																																																																																																																																																			5
1929								4																																																																																																																																																			4
1930								5																																																																																																																																																			5
1931								22																																																																																																																																																			22
1932								14																																																																																																																																																			14
1933								2																																																																																																																																																			2
1934								1																																																																																																																																																			1
1935								1																																																																																																																																																			1
