Breakdown of ST (MLST) by serovar:
Selected options: Display values only. 

ST (MLST)	serovar
	Abaetetuba	Aberdeen	Abony	Abortusequi	Abortusovis	Adelaide	Aderike	Agama	Agbeni	Ago	Agona	Ajiobo	Alachua	Albany	Altona	Amsterdam	Anatum	Anecho	Apapa	Arechavaleta	Ashford	Augustenborg	Baguida	Baildon	Bareilly	Berta	Binza	Blockley	Bonariensis	Bovismorbificans	Braenderup	Brandenburg	Brazzaville	Bredeney	Brunei	Caracas	Carmel	Carno	Carrau	Carshalton	Cerro	Charity	Chester	Choleraesuis	Coeln	Colchester	Coleypark	Colindale	Concord	CoppettsWood	Cork	Corvallis	Cotham	Cubana	Curacao	Derby	Dublin	Durham	Ealing	Eastbourne	Edinburg	Eimsbuettel	Emek	Enteritidis	Farsta	Florida	Fluntern	Frimley	Gafsa	Galiema	Gallinarum	Gaminara	Give	Glostrup	Goelzau	Gold coast	Goodmayes	Goverdhan	Hadar	Haifa	Harrow	Hartford	Havana	Heidelberg	Herston	Hull	Hvittingfoss	Idikan	Indiana	Inganda	Inverness	Ipswich	Irumu	Isangi	Java	Javiana	Jedburgh	Johannesburg	Kentucky	Kenya	Kiambu	Kibusi	Kingslynn	Kingston	Kintambo	Kisangani	Kisarawe	Kottbus	Kua	Labadi	Lagos	Lexington	Lika	Lille	Lingwala	Litchfield	Livingstone	Lomalinda	London	Maastricht	Manhattan	Maritzburg	Martonos	Matadi	Maybush	Mbandaka	Meleagridis	Mgulani	Miami	Mikawasima	Minnesota	Mississippi	Monschaui	Montevideo	Muenchen	Muenster	Naestved	Namur	Napoli	Nchanga	Newport	Newport I	Newport II	Newport III	Nima	Norwich	Nottingham	Oakland	Ohio	Oranienburg	Orientalis	Orion	Oslo	Panama	Paratyphi A	Paratyphi B	Paratyphi BI	Paratyphi BII	Paratyphi BIII	Paratyphi BIV	Paratyphi C	Pomona	Poole	Poona	Pullorum	Ramatgan	Reading	Richmond	Ridge	Rissen	Rubislaw	Saintpaul	Sandbanks	Sandiego	Schwarzengrund	Senftenberg	Singapore	Sloterdijk	Soerenga	Stafford	Stanley	Stanleyville	Sundsvall	Szentes	Tallahassee	Teko	Tennessee	Thompson	Tomegbe	Torbay	Treforest	Tucson	Typhi	Typhimurium	Typhisuis	Uganda	Umbilo	Urbana	Vejle	Virchow	Vitkin	Wandsworth	Wangata	Weltevreden	Welwyn	Weslaco	Westhampton	Worthington	Zanzibar	other	unknown	Infantis	Total
435																										9																																						2																																																																																																																																		1																1	1		14
437																																																																																																1																																																																																																																			1		2
438																																																																																																																																																																																																																			1		1
439																																																																																																																																																																																																																		1	3		4
440						4																																																					1																																																																																																																																																										5
443																																																																																																																																					20																																																																														1		21
445																																																																																																																																																																																																																		1			1
446																																																																																							8																																																																																																																											2			10
447																																																																																																																																																																				12																																														1	6	2	21
448																																																																																																																																																																																																																			4		4
450																																																																																																																																																																																																																		1	2		3
451																																																																																																																																																																		8																																																1			9
452																																																																																																																																																																																																																		4			4
454																																																																																																																																																																																																																		4	1		5
455																																																																																																															1																																																																																																			3			4
457																																																																																																																					10																																																																																														1		11
462																																																																																																																																																																																	10																																				10
463																																																																																																																															20																																																																																				7		27
464																									1																																																																																																																																																																																										2		3
465																																																																																																																																																																																																																		2			2
466																																																																																																																																																																																																																	4				4
469																																																																																																																																																																										21																																								1	2		24
471																																																																																																		5																																																																																																																	1		6
473																																																																															13																																																																																																																																				1		14
474																																																																																																																																											1																																																																							1	2		4
479																																																																																																																																																											3																																																										3
488																																																																																																																																																																																							1																												1		2
501																																																																																																																																																																																	3																																				3
504																																																																																																																							5																																																																																														5
505																																		8																																																																			1																																																																																																																9
509																																																																																																																																																																																																																		1			1
512																																																																																																																																																																																																						2						1							1		4
513																																																																																																																																																																																																		4																			4
515																																																																																																		1																																																																																																																	1		2
516																																																																3									15																																																																																																																																										6		24
517																																																																																																																																																																																																																		2			2
518																																																																																																																																																																																																																		1			1
520																																																																																																																																																	1																																																																		1		2
523																																																																																																																																																																																																											6										6
524																																																																									2																																																																																																																																												2
531																																																																																																																																																																																																																		1	1		2
532																																																																																																																																																																																																																		1	1		2
533																																																	1																																																																																																																																																																				1
534																																																	1																																																																																																																																																																				1
535																																																																																																																																																																																																																			1		1
536																																																																																																																																																																		7																																																			7
538																																																																																																																																																																																																																		1			1
541																																									1																																																																																																																																																																												1
543																																																																																																																					5																																																																																														1		6
544																																																																																																																																																																																																																		1			1
545																																																						1																																																																																																																																																															1
546																																																																																																																																																																																																																		1	1		2
548																																																																																																																																			12																			1																																																												1	1		15
553																																																																																																																																																																																																																			1		1
555																																																																																																																																																																																																																		1			1
557																																																																																																																																																																																				1																														1			2
558																																																																																																																																																							2																																																												1		3
562																																																																																																																																																																											1																																										1
568																																																																																																																																																																																																		14																	2		16
574																																																																																																																																																																																																																		12	6		18
578																																																																																			4																																																																																																																															1	1		6
581																																																																																																																																																																																																																		5	2		7
582																																																																															2																													10																																																																																																						1			13
584																																																13																																																																																																																																																																					13
588																																																																																			5																																																																																																																																		5
589																																																																																																2																																																																																																																			1		3
590																1																																																																																																																																																																																																		1	1		3
592																																																																																																																																																																																																																7		1	2		10
595																																																																																			1																																																																																																																																		1
596																																																																																																																																																																																																																		7	2		9
599																																																	3																																																																																																																																																																				3
600																																																																																																																																								1																																																																										2			3
601																																																																						12																																																																																																																																												1			13
603																																																																																																																																																																																																		1																	1		2
605																																																																																																																																																																																																																			1		1
606																																																																																																																																																																																																																			1		1
614																																																																																																																																															1																																																																						1
617																																																					9																																																																																																																																																													1	1		11
621																																																																																					9																																																																																																																														1		10
633																																												1																																																																																																																																																																									1
638																																																														4																																																							3																																																																																														1		8
639																											8																																					1																																																																																								6																																																										1			16
643																																																																																																																																																																																																																		3	2		5
644																																																																																																																																																																																																																		3	5		8
645																																																																																																																																			2																																																																															3	2		7
647																			10																																																																																																																																																																																																		10
648																																																																																																																																																																																																								2													2
649																																																																																																																																																																																																																		2	1		3
654																																																																									20																																																																																																																																										4		24
679																																																																																																																																																																																																																			2		2
680																																																																																																																																																																												3																																							1		4
682																																																																																																																																																																																																																			2		2
683																																																								1																																																																																																																																																													1
684																																																																																																																																																																																																		1		10																	11
694																																																																																																																																																																																																																			1		1
696																																																																																																			3																																																																																																																		3
699																																																																																																																																						3																																																																															3
714																																																																																																																																																																				2																																															1		3
733																																																																																															1																																																													2																																																									3
734																																																																																															1																																																													2																																																									3
735																																																																																																																																																																																									2																									1			3
736																																																																																																																																																																																																																		1			1
741																																																																																																																																																																																																																		1			1
745																																																																3																																																																																																																																																					3
754																																																																																																																																																																																																						6													1		7
755																																																																																																																																																																																																								2													2
769																																									2																																																																																																																																																																												2
770																																																																																																																																																																																																																		1			1
772																																																																																															1																																																																																																																						1
775																																																																																																																																																																																																																			1		1
776																																																																																																																																																																																																																		3			3
777																																																																																																																																																																																																																		2			2
781																																																																																																																																																																																																																		14	11		25
782																																																																																																																																																																																																																		4			4
808																																																																																																												2																																																																																																									2
812																																																																																																																																																																				4																																																	4
814																																																																5																																																																																																																																																			1		6
816																																																																																																																						1																																																																																													2		3
819																																																																																																																																																																																																																		1	2		3
827																																																																											9																																																																																																																																										9
838																																																																																																																																																																																																																			1		1
841																																																																																																																																																																																																								1											1		2
859																																																																																																																																																																																																																		1			1
864																																																																																																																																																						4																																																															4
867																																																																																																																																																																																																																	9				9
869																																																																																																																																																																																																																		41			41
870																																																																																																																																																																																																																			2		2
871																																																																																																																																																																																																																		6	9		15
872																																																																																																																																																																																																																			1		1
873																																2																																																																																																																																																																																					2
874																																																																																																																																																																																																																		1			1
875																																																																																																																																																																																																																		1			1
876																																																																																																																																																																																																																		12	7		19
877																																																																																																							2																																																																																																														2
878																																																																																																																													1																																																																																								1
885								10																																																																																																																																																																																										1																			11
886																																																																	1																																																																																																																																																				1
897																																		3																																																																																																																																																																																			3
906																																																																																																											15																																																																																																							1	4		20
909																									89																																																																																																																			1																												4																																										2	4		100
912																																																																																																																																																																																																																			1		1
929																																																																																																																																																																																																																			2		2
931																																																																		6																																																																																																									1																																								1		8
949																																																																																																																																																																																																																			1		1
957																																																																																																																																																																																																																			1		1
958																																																																																																																																																																																																																		15	4		19
961																																																																																																																																																																																																																		1			1
963																																																																																																																																																																																																																		2			2
964														1																																																																																																																																																						4																																															3		8
970																																																																																																																																																																																																																		1	1		2
973																																																																																																																												2																																																																																							1		3
974																																																																																																																																																																																																																		3	1		4
975																																																																																																																																																																																																																		1	1		2
976																																																																																																																																																																																																																		1	1		2
977																																																																																																																																																																																																																		2	3		5
988																																																																																																																																																																																																																		1			1
1006																																																																																																																																																																																																																		1			1
1025																																																																																																																																										1																																																																											1
1027																																																																																																																																																																																					5																																5
1030																						10																																																																																																																																																																																															10
1035																																																																																																																																																																																																																		1			1
1039																																																																																																																																																																																																																		1			1
1040																																																																																							2																																																																																																																														2
1044																																																																																																																																																						1																																																													1		2
1048																																																																																																																																																																																																																		1			1
1050																																																																																																																																																																																																																			1		1
1051																																																																																																																																																																																																																		1			1
1058																														1																																																																																																																																																																																							1
1063																																																																																																																																																																																																																		1			1
1068																																																																																																																																																																																																																		5			5
1069																																																																																																																																																																				3																																																	3
1071																																																																																																																																																																																																																			1		1
1072																																																																																																																																																																																																																		2	1		3
1076																																																																																																																																																																																																																		3	1		4
1079																																																																																																																																																																																																																		1	1		2
1080																																																																																																																																																																																																																		1	2		3
1082																																																																																																																																																																																																																		1			1
1083																																																																																																																																																																																																																		3	1		4
1084																																																																																																																																																																																																																		8	2		10
1088																																																																																																																																																																																																														2				1	2		5
1100																																																																																																																																																																																																																		1			1
1101																																																																																																																																																																																																																		2	1		3
1108																																																																																																																																																																																																																		1	1		2
1110																																																																																																																																																																																																																		1			1
1118																																																																																																																																																																																																																		1	1		2
1121																																																																																																																																																																																																																		7	2		9
1122																																																																																																																																																																																																																		2	1		3
1124																																																																																																																																																																																																																		1	2		3
1140																																																																																																																																																																																																																			1		1
1141																																																																																																																																																																																																																		1			1
1142																																																																																																																																																																																													2																					4			6
1143																																																																																																																																																																																																																		2	1		3
1163																																																																																																																																																																																																																		1			1
1165																																																																																																																																																																																																																		1	1		2
1166																																																																																																																																																																																																																		1	1		2
1167																																																																																																																																																																																																																		1			1
1168																																																																																																																																																																																																																		1	2		3
1169																																																																																																																																																																																																																		1	1		2
1170																																																																																																																																																																																																																		2	2		4
1171																																																																																																																																																																																																																		2	1		3
1173																																																																																																																																																																																																																		2			2
1176																																																																																																																																																																																																																			1		1
1178																																																																																																																																																																																																																			1		1
1180																																																																																																																																																																																																																		1	1		2
1185																																																																																																																																																																																																																		1	2		3
