Breakdown of ST (MLST (scheme 1)) by serovar:
Selected options: Display values only. 

ST (MLST (scheme 1))	serovar
	Abramis	Agogo	Alice	Arenal	Argentinensis	Atchafalaya	Australis	Autumnalis	Babudieri	Bafani	Bakeri	Balboa	Balcanica	Ballum	Bananal	Bangkinang	Bangkok	Bataviae	Benjamini	Beye	Biggis	Bim	Bindjei	Birkini	Bogvere	Borincana	Brasiliensis	Bratislava	Broomi	Bulgarica	Butembo	Camlo	Canalzonae	Canicola	Carimagua	Carlos	Castellonis	Celledoni	Ceylonica	Claytoni	Copenhageni	Coxi	Cristobali	Cynopteri	Dehong	Djasiman	Djatzi	Erinaceiauriti	Evansi	Fluminense	Fortbragg	Fugis	Galtoni	Gem	Georgia	Geyaweera	Grippotyphosa	Grippotyphosa type Moskva	Guaratuba	Guaricura	Gurungi	Haemolytica	Hardjo	Hardjo type Bovis	Hardjo type Prajitno	Hawain	Hebdomadis	Hekou	Holland	Hongchon	Honghe	Hualin	Huallaga	Hurstbridge	Hurstbridge type HB6	Icterohaemorrhagiae	Istrica	Jalna	Javanica	Jonsis	Jules	Kabura	Kalimantani	Kambale	Kamituga	Kennewicki	Kenya	Khorat	Kisuba	Kobbe	Kremastos	Kunming	Kuwait	Kwale	Lai	Lai type Langkawi	Lambwe	Langati	Lichuan	Linhai	Lora	Losbanos	Louisiana	Lyme	Malaysia	Mangus	Manhao 3	Manilae	Mankarso	Manzhuang	Medanensis	Mengdeng	Mengla	Menglian	Mengma	Mengrun	Mini	Mooris	Mozdok	Muelleri	Muenchen	Mujunkumi	Mwogolo	Naam	Nanding	Nanla	Nanxi	Ndahambukuje	Ndambari	Nicaragua	No value	Nyanza	Orleans	Paidjan	Panama	Patoc	Perameles	Peru	Pinchang	Poi	Polonica	Pomona	Portblairi	Portlandvere	Princestown	Proechimys	Pyrogenes	Ramisi	Ranarum	Ratnapura	Ricardi	Robinsoni	Roumanica	Rushan	Saopaulo	Sarmin	Saxkoebing	Schueffneri	Sejroe	Sentot	Shermani	Smithi	Sokoine	Sorexjalna	Sumneri	Szwajizak	Tabaquite	Tarassovi	Tonkini	Topaz	Tropica	Tsaratsovo	Tunis	Unipertama	Valbuzzi	Vanderhoedeni	Varela	Varillal	Vughia	Weaveri	Weerasinghe	Wolffi	Yunnan	Zanoni	Zhenkang	other	Total
107																																																																																																																																			2																																																								2
108																																																																																																																																			1																																																								1
109																																																																																																																																			2																																																								2
110																																																									7																																																																										5																																												2	1											15
111																																																									3																																																																										1																																																								4
112																														1																																																																																																					1																																																								2
113																																																																																																																																			1																																																								1
114																																																																																																																																			1																																																								1
115																																																																																																																																																																												1															1
116																																																																																																																																																						1																																					1
117																																																																																																																							5												1																																																								6
118																																																																																																																																			5																																																								5
119																																																																																																																																			2																																																								2
120																																																																																																																																			1																																																								1
121																																																																																																																																																				1																																							1
122																									1																																																																																																								1																																																										2
123																																																																																				1																																																																																																							1
124																																																					1																																																																														1																																																								2
125																																																																																		1																																																																																																									1
126																																																																																					1																																																																																																						1
127																																																																																																																																1			1																																																								2
128																																																																																																																																			3																																																								3
129																																																																																																																																			1																																																								1
130																																																																																																																																			1																																																								1
131																																																																																																																																			1																																																								1
132																																																																																																																																			1																																																								1
133																																																																																																																																			1																																																								1
134																																																																																																																																			1																																																								1
135																																																																																																																																			2																																																								2
136																																																																																																																																			2																																																								2
137																																																				1																																																																																																																																							1
138																																																																																																																																			2																																																								2
139																																																																																																																																			2																																																								2
140																																																											1																																																																								13											12																																													26
141										1																																																																																																																																																																																	1
142																																																																																																																					1																																																																						1
143																																																																															5																																																				19																																																						1		25
144																																							1																																								1																																																				5																																																								7
145																																																																																																																																												1																																															1
146																																																																															1																																																				7									3																								1																							12
147																																																																																	1																																																		1																																																								2
148																																																																																									1																																										1																																																								2
149														72																							2																																																																																														9																																																								83
150													1																																																																																																																																																																														1
151																																																																																														1																																																																																													1
152																																																																6																																																																			5																																																								11
153																																																																																																																																			2																																					1					1														4
154																																																																																							2																																												1																																																								3
155																																																																																																																																			6										1																1																														8
156																																																																																																																																				1																																																							1
157																																																																																																																																			1																																																								1
158																																																																																																											1																								2																																																								3
159																																																																																																																	1																																																																										1
160																																																																																																																																																																																							1				1
161																																																																																																																													1																																																														1
162																																																																																																														1																																																																													1
163																																																																																																																																		1	1																																																								2
164					1																																																																																																																																																																																						1
165																																																																																																																																																		1																																									1
166																																			1																																																																																																																																																								1
167																																																			1																																																																																																																																								1
168																																																																																																																																			3																																																								3
169																																																																																																							1																												1																																																								2
170																																																																									1																																																																																																																		1
171																																																																																																																																			2				2																																																				4
172																				1																																																																																																																																																																							1
173									1																																																																																																																																																																																		1
174												1																																																																																																																																																																															1
175																																																																																										1																																																																																																	1
176																																	1																																																																																																		1																																																								2
177																																																		1																																																																																																																																									1
178			1																																																																																																																																																																																								1
179																																																												1																																																																																																																															1
180																										1																																																																																																																																																																	1
181						1																																																																																																																																																																																					1
182																																																																																																																			1	1															1																																																								3
183																																																																																																																																			2																																																								2
184																																																																																																																1																																																																											1
185																																						1																																																																																																																																																					1
186																																										1																																																																																																																																																	1
187																																																																																																																1																																																																											1
188																																																																																																																																																																																			1								1
189																																																																																																																1																																																																											1
190																																																																																																																1																			1																																																								2
191																																																																																																																																			1																									1																															2
192																																																																																																																																																																										2																	2
193																																																																				1																																																																																																																							1
194																																																																																																																		1																	1																																																								2
195																																																																																																																																																																														1													1
196																																																																																																		1																																																																																									1
197																																																																																																																																			2																																																								2
198							1																																																																																																																																																																																				1
199																																									5																																																																																																																																																		5
200																																																																																																																																																																									1																		1
201																																									1																																																																																																																																																		1
202																																																																																																																															1				1																																																								2
203																																																																							1																																																																																																																				1
204																																															1																																																																																																																																												1
205																																																																																																																																			1																																																								1
206																																									1																																																																																																																																																		1
207																																																																																																			1																																1																																																								2
208																																																																																																																																																																											1																1
209																																																																																																																																			1																																																								1
210																																																																																																																																			1																																																								1
211																																																																																																																																			1																																																								1
212																																																																																																																																			1																																																								1
213																																																																																																																																			3																																																								3
214																																																																																																																																			5																																																								5
215																																																																																																																																			1																																																								1
216																																																																																																																																			1																																																								1
217																																																																																																																																			1																																																								1
218																																																																																																																																			1																																																								1
219																																																																																																																																																													1																														1
220																																																																																																																																																																	2																										2
221																																																																																																																																			1																																																								1
222																																																																																																																																			1																																																								1
223																																																																																																																																			1																																																								1
224																																																																																																																																			1																																																								1
225																																																												1																																																																																																																															1
226															1																																																																																																																				1																																																								2
227																																																																																																																																			2																																																								2
228																																																																																																																																			1																																																								1
230																																																																																																																																			1																																																								1
231																																																																																																																																			1																																																								1
232																																																																																																																																			1																																																								1
233																																														1																																																																																																																																													1
234																																																																																																																								1																																																																			1
235																																																														1																																																																					1																																																								2
236																																																																																																1																																																																																											1
237																																																																																																																																			1																																																								1
238																																																																																																																																			1																																																								1
239																																																																																																																																			2																																																								2
240																																																																																																																																			1																																																								1
241																																																																																																																																			1																																																								1
242																																																																																																																																			1																																																								1
243																																																																																																																																			1																																																								1
244																																																																																																																																			1																																																								1
245																																																																																																																																			1																																																								1
246																																																																																																																																			1																																																								1
247																																																																																																																																			1																																																								1
248																																																																																																																																			1																																																								1
249																																																																																																																																			1																																																								1
250																																																																																																																																			1																																																								1
251																																																																																																																																			2																																																								2
252																																																																																																																																			3																																																								3
253																																																																																																																																			1																																																								1
254																																																																																																																																			2																																																								2
255																																																																																																																																			1																																																								1
256																																																																																																																																			1																																																								1
257																																																																																																																																			1																																																								1
258																																																																																																																																			1																																																								1
259																																																																																																																																			1																																																								1
260																																																																																																																																			1																																																								1
261																																																																																																																																			1																																																								1
262																																																																																																																																			1																																																								1
263																																																																																																																																			1																																																								1
264																																																																																																																																			1																																																								1
265																																																																																																																																			1																																																								1
266																																																																																																																																			1																																																								1
267																																																																																																																																			2																																																								2
268																																																																																																																																			2																																																								2
269																																																																																																																																			1																																																								1
270																																																																																																																																			1																																																								1
271																																																																																																																																			1																																																								1
273																																																																																																																																			1																																																								1
274																																																																																																																																			1																																																								1
275																																																																																																																																			1																																																								1
277																																																																																																																																			1																																																								1
278																																																																																																																																			1																																																								1
279																																																																																																																																			1																																																								1
280																																																																																																																																			1																																																								1
281																																																																																																																																			1																																																								1
282																																																																																																																																			1																																																								1
283																																																																																																																																			1																																																								1
284																																																																																																																																			1																																																								1
285																																																																																																																																			1																																																								1
286																																																																																																																																			1																																																								1
287																																																																																																																																			1																																																								1
288																																																																																																																																			1																																																								1
289																																																																																																																																			1																																																								1
291																																																																																																																																			1																																																								1
292																																																																																																																																			1																																																								1
293																																																																																																																																			1																																																								1
294																																																																																																																																			7																																																								7
295																																																																																																																																			6																																																								6
297																																																																																																																																			1																																																								1
298																																																									1																																																																										3																																												1												5
299																		1																																																																																																																																																																									1
300																																																																																																																																			3																																																								3
301																		1																																																																																																																	1																																																								2
302																																																																																																																																			1																1																																								2
303																																																																																																																																			1																																																								1
304																																																																																																																																			2																																																								2
305																																																																																																																																			1																																																								1
306																																																																																																																																			1																																																								1
307																																																																																																																																			2																																																								2
308																																																																																																																																			2																																																								2
309																																																																																																																																			1																																																								1
310																																																																																																																																			1																																																								1
311																																																																																																																																																																								1																			1
312																																																																																																																																			7																																																								7
313																																																																																																																																			1																																																								1
314								1																																																																																																																																																																																			1
315											1																																																																																																																																																																																1
316																																																																																																																																																			1																																								1
317								1																																																																																																																																																																																			1
318																																																									1																																																																										1																																																								2
319																																																																																																																																																															1																												1
320																																																																																																																																			1																																																								1
321																																																																																																																																			1																																																								1
322																																																																																																																																																																	1																										1
323																																																																																																																																			2																																																								2
324																																																																																																																																			1																																																								1
325																																																																																																																																			1																																																								1
326																																																																																																																																			1																																																								1
327																																																																																																																																			1																																																								1
328																																																																																																																																			2																																																								2
329																																																																																																																																			4																																																								4
330																																																																																																																																			1																																																								1
331																																																																																																																																			1																																																								1
332																																																																																																																																																			1																																								1
333																		1																																																																																																																																																																									1
Total	1	1	1	1	1	1	8	63	1	1	1	1	2	73	2	1	1	16	1	1	1	3	1	1	1	1	1	2	1	4	1	1	1	23	1	1	2	1	1	1	111	1	1	3	1	3	1	1	1	1	2	1	1	1	1	1	22	2	2	2	1	2	1	7	3	1	2	1	1	1	3	1	1	1	1	24	1	3	8	1	1	1	1	1	1	1	10	1	1	1	1	3	1	1	6	2	1	1	1	1	5	1	1	2	1	1	2	10	1	1	5	4	1	1	1	1	3	1	7	1	2	1	2	1	1	2	1	1	1	1	785	1	1	2	2	2	1	1	1	4	1	17	1	1	1	1	32	2	1	8	1	1	1	1	1	1	4	1	2	1	3	1	2	1	1	2	1	2	1	2	1	1	1	1	14	1	1	2	1	1	1	2	1	2	1	19	1495

