Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	Ccond  [O1]	Cdub 01	Cdub O1	Cdub O1a	Cdub O1b	Cdub O2	Cdub O4	Cmal O1	Cmal O2	Cmal O3	CmalO1CsakO4	CmalO2	Cmuyt O1	Cmuyt O2	Cmuyt O3	Csak O1	Csak O1'	Csak O2	Csak O2'	Csak O3	Csak O4	Csak O7	Csak O:1	CsakO1	CsakO2	CsakO3	CsakO7	Ctur O1	Ctur O2	Ctur O3	Ctur O4	Ctur O:1	Cuni O1	No value	Not found	O1	[Csak O5]	[Csak O6]	[Ctur O2]	Total
345																																		2						2
346						1																												1						2
347															1																									1
348																2																								2
349																														1										1
350																																		2	1					3
352																																			1					1
353																												1												1
354						1																																		1
355						1																																		1
356						1																																		1
357			1																																					1
358			2																																					2
359																														1										1
360						1																																		1
361						1																																		1
362																																		1						1
363																																		1						1
364																																		1						1
365																																		1						1
366																																		1						1
367																																		1						1
368																																					1			1
369																																		1						1
370																																		1						1
371								1																											2				1	4
372																																		1						1
373																																					1			1
374								1																																1
375																																		1	4					5
376																																		1						1
377																																		1						1
378																1																		1						2
379																																		1						1
380																																		1						1
381																																		1						1
382																																		1						1
383																																		1						1
384																																		1						1
385																																		2						2
386																																		1						1
387																																		1						1
388																																		2						2
389																																		12						12
390																																		1						1
391																																		1						1
392																																		1						1
393																																		1						1
394																																		1						1
395																								1										1						2
396																																		1						1
397																																		1						1
398																																		1						1
399																																		1						1
400																																		1						1
401																																		1						1
402																																		1						1
403														1																										1
405																				1																				1
406																		2																						2
407													1																											1
408																																		2						2
409																																		2						2
410																1																								1
411													1																											1
412																																		1						1
413																																		1						1
414																																		1						1
415																																		5						5
416																																		1						1
417																																		1						1
418																																		1						1
419																																		1						1
420																																		1						1
421																																		1						1
422																																		1						1
423																																		1						1
424																																		1						1
425																																		1						1
426																																		1						1
427																																		1						1
428																																		1						1
429																																		1						1
430																																		1						1
431																																		1						1
432																																		1						1
433																																		1						1
434																																		1						1
435																																		1						1
436																																		1						1
437																																		1						1
438																																		2						2
439																																		1						1
440								1																1										5						7
441								1																										1						2
442																																		1						1
443																																		1						1
444																																		3						3
445																																		1						1
446																							1											1						2
447																																		1						1
448																																		1						1
449																																		3						3
450																																		1						1
451																																		2						2
452																																		1						1
453																																		1						1
454																																		1						1
455																																		1						1
456																																		1						1
457																																		1						1
458																																		4						4
459																																		1						1
460																																		1						1
461																																		1						1
462										1																								7						8
463																																		1						1
464																																		1						1
465																																		1						1
466																																		2						2
467																																		1						1
468																																		1						1
469																																		1						1
470																																		1						1
471						1																																		1
472								1																																1
473																													1											1
474						1																																		1
475																1																		3						4
476			2																																					2
477			1																																					1
478																																		1						1
